epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.8841238468885422,73.48200824737549,0.9275814825296402,34.81146263122559
1,0.9338246938586235,20.483826508522032,0.8985485088825226,11.23318416595459
2,0.9412306061387062,7.25672513961792,0.8994611287117005,4.590094213485718
3,0.947416961491108,3.240486776828766,0.9115986609458924,2.325549602508545
4,0.9522215089201927,1.775303510427475,0.9104740411043167,1.422634972333908
5,0.9554953712224961,1.1533130422234534,0.9038343620300293,1.0119431233406067
6,0.9599443459510804,0.8372731521725655,0.9034924536943436,0.7908796578645706
7,0.9625129038095475,0.6647806587815285,0.9060602247714996,0.6574480128288269
8,0.9654684036970138,0.5525715237855912,0.9063907122611999,0.5666825777292251
9,0.9678261014819145,0.472652867436409,0.9138827508687973,0.4924919793009758
10,0.9704962131381035,0.4091478732228279,0.9146234786510468,0.4374518424272537
11,0.971897747516632,0.3590753914415836,0.9269603115320205,0.3799039348959923
12,0.9735631135106086,0.31441642686724663,0.919660229086876,0.3472616773843765
13,0.9749992421269417,0.2777364379167557,0.9176874893903733,0.31620449721813204
14,0.9760267785191536,0.24185784600675106,0.9300092929601669,0.2742529955506325
15,0.9771023577451706,0.21157055228948593,0.9299937707185745,0.2436280958354473
16,0.9774864816665649,0.18724010519683362,0.915468111038208,0.23405048191547395
17,0.9786817651987075,0.16223349556326866,0.9182894903421402,0.20977122753858565
18,0.9801302334666252,0.13912880811840295,0.9338648426532745,0.17497180983424188
19,0.9801186168193817,0.12222333196550608,0.9252272546291351,0.16714537233114243
20,0.9811030319333076,0.10528412941843271,0.9345052659511566,0.1432462839782238
21,0.9799942886829376,0.093148212172091,0.9461207646131515,0.12079797826707363
22,0.9814727413654327,0.08007384445518255,0.9290602618455887,0.125817658752203
23,0.9815655553340912,0.07425209088250995,0.9122924149036408,0.13416481241583825
24,0.9824131354689598,0.06075371112674475,0.9166550660133361,0.12160689540207387
25,0.9827665165066719,0.05275568241253495,0.9292772316932678,0.10190822295844555
26,0.9832808500528336,0.04612051015719772,0.9232826256752014,0.10208820194005966
27,0.9827215650677681,0.043492547031491996,0.9129589647054672,0.10857253596186638
28,0.9819757637381553,0.0403186553157866,0.9140825343132019,0.10454794496297837
29,0.9828216460347176,0.035663992585614326,0.9153703409433365,0.09950484529137611
30,0.984051747918129,0.030484415432438253,0.9239316374063492,0.08797998011112212
